   Wave [mic]    t_ote(norm)    nc_abs    sys_t(norm)
      2.75600     0.996181      0.99776250      0.99395206
      2.75650     0.996162      0.99776250      0.99393267
      2.75700     0.996143      0.99776250      0.99391441
      2.75750     0.996122      0.99776250      0.99389348
      2.75800     0.996103      0.99776250      0.99387433
      2.75850     0.996083      0.99776250      0.99385417
      2.75900     0.996062      0.99776250      0.99383288
      2.75950     0.996041      0.99776250      0.99381272
      2.76000     0.996019      0.99776250      0.99379071
      2.76050     0.995999      0.99776250      0.99376996
      2.76100     0.995976      0.99776250      0.99374718
      2.76150     0.995954      0.99776250      0.99372541
      2.76200     0.995930      0.99776250      0.99370210
      2.76250     0.995908      0.99776250      0.99367956
      2.76300     0.995885      0.99776250      0.99365678
      2.76350     0.995860      0.99776250      0.99363157
      2.76400     0.995836      0.99776250      0.99360796
      2.76450     0.995812      0.99776250      0.99358423
      2.76500     0.995787      0.99776250      0.99355919
      2.76550     0.995761      0.99776250      0.99353338
      2.76600     0.995736      0.99776250      0.99350757
      2.76650     0.995710      0.99776250      0.99348229
      2.76700     0.995682      0.99776250      0.99345422
      2.76750     0.995657      0.99776250      0.99342936
      2.76800     0.995629      0.99776250      0.99340112
      2.76850     0.995602      0.99776250      0.99337417
      2.76900     0.995572      0.99776250      0.99334426
      2.76950     0.995544      0.99776250      0.99331631
      2.77000     0.995517      0.99776250      0.99328943
      2.77050     0.995489      0.99777645      0.99327530
      2.77100     0.995458      0.99779046      0.99325850
      2.77150     0.995429      0.99780440      0.99324318
      2.77200     0.995399      0.99781841      0.99322703
      2.77250     0.995367      0.99783236      0.99320939
      2.77300     0.995336      0.99784631      0.99319229
      2.77350     0.995305      0.99786031      0.99317572
      2.77400     0.995274      0.99787426      0.99315802
      2.77450     0.995241      0.99788821      0.99313907
      2.77500     0.995207      0.99790221      0.99311928
      2.77550     0.995176      0.99791616      0.99310217
      2.77600     0.995142      0.99793017      0.99308203
      2.77650     0.995108      0.99794412      0.99306218
      2.77700     0.995074      0.99795806      0.99304192
      2.77750     0.995039      0.99797207      0.99302070
      2.77800     0.995004      0.99798602      0.99300002
      2.77850     0.994968      0.99800003      0.99297827
      2.77900     0.994932      0.99801397      0.99295592
      2.77950     0.994897      0.99802792      0.99293493
      2.78000     0.994859      0.99804193      0.99291145
      2.78050     0.994823      0.99801397      0.99284688
      2.78100     0.994785      0.99798602      0.99278195
      2.78150     0.994748      0.99795806      0.99271655
      2.78200     0.994709      0.99793017      0.99265049
      2.78250     0.994669      0.99790221      0.99258283
      2.78300     0.994631      0.99787426      0.99251655
