Test Spectra from Irwin et al. (2014), The Transit Spectra of Earth and Jupiter, Icarus
Column 1: Wavelength (in microns)
Column 2: 100*Ap/Astar (Earth-Sun Primary Transit)
Column 3: 100*Ap/Astar (Earth-Mdwarf Primary Transit)
Column 4: 100*Ap/Astar (Jupiter-Sun Primary Transit)
Column 5: Fp/Astar (Earth-Sun Secondary Eclipse)
Column 6: Disc-averaged radiance of Earth (W cm-2 sr-1 micron-1)
Column 7: Fp/Astar (Jupiter-Sun Secondary Eclipse)
Column 8: Disc-averaged radiance of Jupiter (W cm-2 sr-1 micron-1)
Column 9: Solar spectral irradiance spectrum (W micron-1)
           (Solar Radius = 695500.0 km)
Column 10: Mdwarf spectral irradiance spectrum (W micron-1)
           (Mdwarf Radius = 97995.0 km)
     Column 1     Column 2     Column 3     Column 4     Column 5     Column 6     Column 7     Column 8     Column 9    Column 10
      2.01600   0.00843357     0.424804      1.05913  1.01711e-11  2.00291e-05  7.33414e-10  1.14951e-05  3.16255e+25  1.18280e+23
      2.03200   0.00842497     0.424373      1.05914  1.91585e-11  3.67064e-05  6.31838e-10  9.63510e-06  3.07698e+25  1.16626e+23
      2.04800   0.00842457     0.424353      1.05915  1.99701e-11  3.71856e-05  4.97514e-10  7.37344e-06  2.99047e+25  1.15561e+23
      2.06400   0.00842611     0.424431      1.05917  1.77124e-11  3.20601e-05  3.52579e-10  5.07942e-06  2.90691e+25  1.14943e+23
      2.08000   0.00842188     0.424219      1.05919  2.28947e-11  4.03222e-05  2.32647e-10  3.26119e-06  2.82849e+25  1.14682e+23
      2.09600   0.00841795     0.424022      1.05922  2.73931e-11  4.69379e-05  1.58468e-10  2.16119e-06  2.75186e+25  1.14695e+23
      2.11200   0.00841613     0.423931      1.05924  2.86509e-11  4.77879e-05  1.39115e-10  1.84681e-06  2.67870e+25  1.14983e+23
      2.12800   0.00841511     0.423880      1.05927  2.93804e-11  4.76119e-05  1.74369e-10  2.24903e-06  2.60256e+25  1.15570e+23
      2.14400   0.00841502     0.423875      1.05947  2.92243e-11  4.59730e-05  2.04942e-10  2.56601e-06  2.52640e+25  1.16229e+23
      2.16000   0.00841519     0.423884      1.05991  2.80361e-11  4.28951e-05  1.41194e-10  1.71940e-06  2.45716e+25  1.16863e+23
      2.17600   0.00841476     0.423862      1.06017  2.74556e-11  4.08766e-05  6.88662e-11  8.16051e-07  2.39104e+25  1.17524e+23
      2.19200   0.00841460     0.423854      1.06033  2.72356e-11  3.94863e-05  5.04084e-11  5.81674e-07  2.32837e+25  1.18193e+23
      2.20800   0.00841478     0.423863      1.06057  2.78485e-11  3.94367e-05  3.49695e-11  3.94143e-07  2.27426e+25  1.18759e+23
      2.22400   0.00841489     0.423868      1.06067  2.81922e-11  3.89804e-05  2.72891e-11  3.00311e-07  2.22053e+25  1.19156e+23
      2.24000   0.00841586     0.423917      1.06093  2.76473e-11  3.72472e-05  2.14449e-11  2.29947e-07  2.16361e+25  1.19308e+23
      2.25600   0.00841740     0.423994      1.06120  2.65300e-11  3.48026e-05  1.45942e-11  1.52376e-07  2.10674e+25  1.18800e+23
      2.27200   0.00841804     0.424026      1.06137  2.58816e-11  3.30422e-05  8.29277e-12  8.42632e-08  2.05028e+25  1.17171e+23
      2.28800   0.00841899     0.424073      1.06159  2.50089e-11  3.10576e-05  4.36917e-12  4.31846e-08  1.99436e+25  1.14462e+23
      2.30400   0.00841910     0.424079      1.06160  2.42602e-11  2.93093e-05  3.95682e-12  3.80463e-08  1.94017e+25  1.10865e+23
      2.32000   0.00841810     0.424029      1.06152  2.39232e-11  2.81139e-05  4.39388e-12  4.10963e-08  1.88725e+25  1.06609e+23
      2.33600   0.00841892     0.424070      1.06159  2.23501e-11  2.55622e-05  4.01360e-12  3.65345e-08  1.83672e+25  1.02204e+23
      2.35200   0.00841982     0.424114      1.06161  2.04122e-11  2.27200e-05  3.76254e-12  3.33306e-08  1.78746e+25  9.77352e+22
      2.36800   0.00841897     0.424072      1.06156  1.87712e-11  2.03605e-05  4.23317e-12  3.65429e-08  1.74185e+25  9.30187e+22
