# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:55:06 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 6730 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'Neptune '           /                                                
# SPTYPE  = 'plnt    '           / Spectral Type                                  
# OBSMODE = 'SXD and LXD1.9'     / Spectroscopy Mode                              
# SXDUT   = '2000 Jun 30'        / UT date of SXD observations                    
# LXDUT   = '2007 Jun 30'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '1500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.806391 / Minimum wavelength (um)                        
# MAXWAVE =              4.12500 / Maximum wavelength (um)                        
# V       =                    0 / V magnitude                                    
# VERR    =                    0 / V magnitude error                              
# (B-V)   =                    0 / B-V color                                      
# (B-V)ERR=                    0 / B-V color error                                
# J       =                    0 / 2MASS J magnitude                              
# JERR    =                    0 / 2MASS J magnitude error                        
# H       =                    0 / 2MASS H magnitude                              
# HERR    =                    0 / 2MASS H magnitude error                        
# KS      =                    0 / 2MASS Ks magnitude                             
# KSERR   =                    0 / 2MASS Ks magnitude error                       
# QFLAG   =                    0 / 2MASS quality flag                             
# FCBANDS =                    0 / 2MASS bands used for absolute flux calibration 
# ABSFERR =                    0 / Relative error in the absolute flux calibration
# RV      = 'NAN     '           / Measured radial velocity (km s-1)              
# (B-V)_0 =                    0 / Intrinsic Color                                
# E(B-V)  =                    0 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.875308                5.26519e-13         2.45942e-15
             0.875540                5.08519e-13         2.48050e-15
             0.875771                5.02201e-13         2.44487e-15
             0.876003                5.04957e-13         2.45684e-15
             0.876235                5.11315e-13         2.45223e-15
             0.876466                5.07511e-13         2.45548e-15
             0.876698                5.02779e-13         2.44013e-15
             0.876929                5.08254e-13         2.46475e-15
             0.877161                5.08704e-13         2.44855e-15
             0.877393                4.93114e-13         2.45382e-15
             0.877624                4.83553e-13         2.41539e-15
             0.877856                4.80479e-13         2.42437e-15
             0.878087                4.79630e-13         2.40919e-15
             0.878319                4.81507e-13         2.40864e-15
             0.878550                4.85468e-13         2.40308e-15
             0.878782                4.74804e-13         2.67435e-15
             0.879014                4.59507e-13         2.35327e-15
             0.879245                4.46155e-13         2.37286e-15
             0.879477                4.41272e-13         2.33647e-15
             0.879708                4.35584e-13         2.35086e-15
             0.879940                4.27852e-13         2.32268e-15
             0.880171                4.08576e-13         2.28397e-15
             0.880403                3.97777e-13         2.28678e-15
             0.880634                3.67931e-13         2.25636e-15
             0.880866                3.43415e-13         2.17736e-15
             0.881097                3.62720e-13         2.23779e-15
             0.881329                3.70549e-13         2.20177e-15
             0.881560                3.43281e-13         2.21120e-15
             0.881792                3.22910e-13         2.14137e-15
             0.882023                3.00168e-13         2.11270e-15
             0.882255                2.88200e-13         2.10324e-15
             0.882486                2.73733e-13         2.11833e-15
             0.882718                2.66502e-13         2.07346e-15
             0.882949                2.61605e-13         2.13782e-15
             0.883181                2.43170e-13         2.04801e-15
             0.883412                2.23346e-13         2.02482e-15
             0.883644                2.16012e-13         2.00041e-15
             0.883875                2.05046e-13         2.01269e-15
             0.884107                2.05922e-13         1.96469e-15
             0.884338                2.07902e-13         2.00478e-15
             0.884570                2.08741e-13         1.97193e-15
             0.884801                2.30874e-13         2.03982e-15
             0.885032                2.38683e-13         2.03072e-15
             0.885264                2.29316e-13         2.03508e-15
             0.885495                2.27480e-13         2.00275e-15
             0.885727                2.35491e-13         2.02029e-15
             0.885958                2.36474e-13         2.01811e-15
             0.886190                2.32448e-13         2.04200e-15
             0.886421                2.22138e-13         1.97727e-15
             0.886652                1.90686e-13         1.97893e-15
             0.886884                1.67726e-13         1.92117e-15
             0.887115                1.68842e-13         1.93180e-15
             0.887347                1.86207e-13         1.91639e-15
             0.887578                1.96609e-13         1.94519e-15
             0.887809                2.13720e-13         1.95179e-15
             0.888041                2.19887e-13         1.99990e-15
             0.888272                2.30241e-13         1.97762e-15
             0.888503                2.35720e-13         2.00346e-15
             0.888735                2.45616e-13         2.02695e-15
             0.888966                2.53229e-13         2.15930e-15
             0.889198                2.33623e-13         1.99054e-15
             0.889429                2.16798e-13         1.99444e-15
             0.889660                2.27478e-13         1.96260e-15
             0.889892                2.45762e-13         2.04306e-15
             0.890123                2.35081e-13         1.98764e-15
             0.890354                2.18472e-13         1.98974e-15
             0.890586                2.22391e-13         1.98460e-15
             0.890817                2.32002e-13         2.00709e-15
             0.891048                2.36710e-13         1.99048e-15
             0.891280                2.31612e-13         1.99786e-15
             0.891511                2.34587e-13         1.99812e-15
             0.891742                2.52682e-13         2.03801e-15
             0.891974                2.49539e-13         2.02310e-15
             0.892205                2.50197e-13         2.05855e-15
             0.892436                2.48003e-13         2.03054e-15
             0.892668                2.40676e-13         2.04950e-15
             0.892899                2.41667e-13         2.01558e-15
             0.893130                2.47686e-13         2.04003e-15
             0.893361                2.44312e-13         2.00016e-15
             0.893593                2.27502e-13         2.02021e-15
             0.893824                2.24557e-13         1.99212e-15
             0.894055                2.27630e-13         2.00940e-15
             0.894287                2.32223e-13         2.01632e-15
             0.894518                2.32004e-13         2.03569e-15
             0.894749                2.30506e-13         2.01049e-15
             0.894980                2.35400e-13         2.05735e-15
             0.895212                2.39035e-13         2.03304e-15
             0.895443                2.36695e-13         2.08271e-15
             0.895674                2.20550e-13         2.02754e-15
             0.895905                2.17126e-13         2.05163e-15
             0.896137                2.22317e-13         2.02051e-15
             0.896368                2.26561e-13         2.06531e-15
             0.896599                2.25336e-13         2.07902e-15
             0.896830                2.36372e-13         2.09713e-15
             0.897061                2.48107e-13         2.06005e-15
             0.897293                2.56524e-13         2.11229e-15
             0.897524                2.47562e-13         2.09127e-15
             0.897755                2.43513e-13         2.12766e-15
             0.897986                2.39273e-13         2.03897e-15
             0.898217                2.42938e-13         2.09012e-15
             0.898449                2.40668e-13         2.06873e-15
             0.898680                2.28074e-13         2.06880e-15
             0.898911                2.21609e-13         2.12832e-15
             0.899142                2.37928e-13         2.31940e-15
             0.899373                2.55487e-13         2.27045e-15
             0.899605                2.63734e-13         2.21879e-15
             0.899836                2.64025e-13         2.06299e-15
             0.900067                2.61865e-13         2.10306e-15
             0.900298                2.77413e-13         2.24524e-15
             0.900529                2.84150e-13         2.25459e-15
             0.900760                2.86918e-13         2.19387e-15
             0.900992                2.68303e-13         2.19421e-15
             0.901223                2.61351e-13         2.09744e-15
             0.901454                2.71398e-13         2.17176e-15
             0.901685                2.70436e-13         2.12632e-15
             0.901916                2.77041e-13         2.21144e-15
             0.902147                2.92682e-13         2.19942e-15
             0.902378                2.94348e-13         2.18564e-15
             0.902610                2.90327e-13         2.18298e-15
             0.902841                3.05339e-13         2.28178e-15
             0.903072                3.16648e-13         2.21061e-15
             0.903303                3.30694e-13         2.26731e-15
             0.903534                3.39457e-13         2.20363e-15
             0.903765                3.53092e-13         2.24511e-15
             0.903996                3.67631e-13         2.19955e-15
             0.904227                3.60474e-13         2.22353e-15
             0.904459                3.50204e-13         2.20659e-15
             0.904690                3.52731e-13         2.26923e-15
             0.904921                3.57675e-13         2.19648e-15
             0.905152                3.72389e-13         2.25334e-15
             0.905383                3.87407e-13         2.28652e-15
             0.905614                3.91906e-13         2.31537e-15
             0.905845                3.90209e-13         2.27231e-15
             0.906076                3.86089e-13         2.30816e-15
             0.906307                3.86173e-13         2.34620e-15
             0.906538                3.92578e-13         2.39853e-15
             0.906769                4.09346e-13         2.31060e-15
             0.907000                4.14958e-13         2.36753e-15
             0.907231                4.10210e-13         2.40039e-15
             0.907463                4.16178e-13         2.44511e-15
             0.907694                4.39967e-13         2.40889e-15
             0.907925                4.39574e-13         2.54481e-15
             0.908156                4.24560e-13         3.26281e-15
             0.908387                4.42858e-13         3.13591e-15
             0.908618                4.44196e-13         3.02865e-15
             0.908849                4.32915e-13         2.97441e-15
             0.909080                4.41245e-13         2.69245e-15
             0.909311                4.66985e-13         2.52517e-15
             0.909542                4.82794e-13         2.50791e-15
             0.909773                4.82147e-13         2.50855e-15
             0.910004                4.70821e-13         2.47446e-15
             0.910235                4.74112e-13         2.52521e-15
             0.910466                4.86075e-13         2.50799e-15
             0.910697                4.68530e-13         2.47259e-15
             0.910928                4.57557e-13         2.48214e-15
             0.911159                4.39907e-13         2.48587e-15
             0.911390                4.32502e-13         2.36254e-15
             0.911621                4.29494e-13         2.35795e-15
             0.911852                4.19557e-13         2.35886e-15
             0.912083                4.23731e-13         2.46512e-15
             0.912314                4.34497e-13         2.55098e-15
             0.912545                4.26752e-13         2.40717e-15
             0.912776                4.10218e-13         2.34384e-15
             0.913007                3.95641e-13         2.40584e-15
             0.913238                3.92198e-13         2.42090e-15
             0.913469                4.08893e-13         2.48102e-15
