# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:55:02 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 7659 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'Saturn  '           /                                                
# SPTYPE  = 'plnt    '           / Spectral Type                                  
# OBSMODE = 'SXD and LXD2.1'     / Spectroscopy Mode                              
# SXDUT   = '2007 May 01'        / UT date of SXD observations                    
# LXDUT   = '2007 May 03'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.800000 / Minimum wavelength (um)                        
# MAXWAVE =              5.02130 / Maximum wavelength (um)                        
# V       =                    0 / V magnitude                                    
# VERR    =                    0 / V magnitude error                              
# (B-V)   =                    0 / B-V color                                      
# (B-V)ERR=                    0 / B-V color error                                
# J       =                    0 / 2MASS J magnitude                              
# JERR    =                    0 / 2MASS J magnitude error                        
# H       =                    0 / 2MASS H magnitude                              
# HERR    =                    0 / 2MASS H magnitude error                        
# KS      =                    0 / 2MASS Ks magnitude                             
# KSERR   =                    0 / 2MASS Ks magnitude error                       
# QFLAG   =                    0 / 2MASS quality flag                             
# FCBANDS =                    0 / 2MASS bands used for absolute flux calibration 
# ABSFERR =                    0 / Relative error in the absolute flux calibration
# RV      = 'NAN     '           / Measured radial velocity (km s-1)              
# (B-V)_0 =                    0 / Intrinsic Color                                
# E(B-V)  =                    0 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.842940                5.55042e-10         3.52794e-13
             0.843172                5.58440e-10         3.62246e-13
             0.843404                5.58539e-10         3.57239e-13
             0.843637                5.43664e-10         3.43557e-13
             0.843869                5.27084e-10         3.31537e-13
             0.844101                5.01298e-10         3.17340e-13
             0.844334                4.93898e-10         3.15929e-13
             0.844566                5.04884e-10         3.26657e-13
             0.844798                5.14889e-10         3.41891e-13
             0.845031                5.40706e-10         3.55671e-13
             0.845263                5.46643e-10         3.51052e-13
             0.845495                5.70489e-10         3.53559e-13
             0.845728                5.81696e-10         3.60799e-13
             0.845960                5.76318e-10         3.60566e-13
             0.846192                5.93173e-10         3.80613e-13
             0.846424                5.96882e-10         3.82007e-13
             0.846657                5.80721e-10         3.70922e-13
             0.846889                5.79218e-10         3.63081e-13
             0.847121                5.75746e-10         3.61085e-13
             0.847353                5.75271e-10         3.62087e-13
             0.847586                5.68507e-10         3.70281e-13
             0.847818                5.78839e-10         3.69742e-13
             0.848050                5.93893e-10         3.72619e-13
             0.848282                5.83428e-10         3.58417e-13
             0.848515                5.75276e-10         3.50978e-13
             0.848747                5.85006e-10         3.54614e-13
             0.848979                6.02363e-10         3.70105e-13
             0.849211                6.05361e-10         3.76882e-13
             0.849443                6.01168e-10         3.80464e-13
             0.849676                5.88268e-10         3.65397e-13
             0.849908                5.23518e-10         3.27061e-13
             0.850140                4.69404e-10         3.01407e-13
             0.850372                5.08301e-10         3.24560e-13
             0.850604                5.54609e-10         3.55208e-13
             0.850836                5.77230e-10         3.82181e-13
             0.851069                5.75631e-10         3.66966e-13
             0.851301                5.65023e-10         3.53291e-13
             0.851533                5.49398e-10         3.36989e-13
             0.851765                5.42938e-10         3.31146e-13
             0.851997                5.47862e-10         3.31799e-13
             0.852229                5.45816e-10         3.34654e-13
             0.852461                5.33740e-10         3.32104e-13
             0.852693                5.27242e-10         3.24338e-13
             0.852926                5.24591e-10         3.17130e-13
             0.853158                5.10803e-10         3.09535e-13
             0.853390                4.90620e-10         2.97798e-13
             0.853622                4.74059e-10         2.91010e-13
             0.853854                4.50122e-10         2.80696e-13
             0.854086                4.16593e-10         2.62791e-13
             0.854318                3.46043e-10         2.18388e-13
             0.854550                2.95801e-10         1.89025e-13
             0.854782                3.34817e-10         2.09554e-13
             0.855014                3.85437e-10         2.37365e-13
             0.855246                4.16750e-10         2.56148e-13
             0.855478                4.35402e-10         2.69993e-13
             0.855710                4.35423e-10         2.69781e-13
             0.855942                4.17840e-10         2.56458e-13
             0.856174                3.98678e-10         2.43059e-13
             0.856407                3.92643e-10         2.39074e-13
             0.856639                3.90204e-10         2.38432e-13
             0.856871                3.79986e-10         2.35633e-13
             0.857103                3.64232e-10         2.29470e-13
             0.857335                3.39730e-10         2.13979e-13
             0.857567                3.29301e-10         2.05565e-13
             0.857799                3.24925e-10         2.02011e-13
             0.858030                3.17772e-10         1.97874e-13
             0.858262                3.11459e-10         1.96403e-13
             0.858494                2.96023e-10         1.90126e-13
             0.858726                2.93863e-10         1.91081e-13
             0.858958                3.06485e-10         1.95825e-13
             0.859190                3.07769e-10         1.94846e-13
             0.859422                2.87369e-10         1.82402e-13
             0.859654                2.84213e-10         1.81628e-13
             0.859886                2.80631e-10         1.80756e-13
             0.860118                2.60501e-10         1.71470e-13
             0.860350                2.45706e-10         1.63234e-13
             0.860582                2.31461e-10         1.54179e-13
             0.860814                2.24838e-10         1.49402e-13
             0.861046                2.19529e-10         1.46243e-13
             0.861278                2.09079e-10         1.41024e-13
             0.861510                1.99840e-10         1.37177e-13
             0.861742                1.90349e-10         1.31771e-13
             0.861973                1.84115e-10         1.28236e-13
             0.862205                1.69471e-10         1.17173e-13
             0.862437                1.65761e-10         1.14610e-13
             0.862669                1.72386e-10         1.16210e-13
             0.862901                1.77764e-10         1.19740e-13
             0.863133                1.85218e-10         1.23781e-13
             0.863365                1.80515e-10         1.22894e-13
             0.863596                1.76511e-10         1.19630e-13
             0.863828                1.69637e-10         1.15213e-13
             0.864060                1.64941e-10         1.11585e-13
             0.864292                1.78574e-10         1.19954e-13
             0.864524                1.84367e-10         1.23036e-13
             0.864756                1.86058e-10         1.26119e-13
             0.864987                1.76351e-10         1.21142e-13
             0.865219                1.81497e-10         1.23242e-13
             0.865451                1.79733e-10         1.21101e-13
             0.865683                1.71814e-10         1.16575e-13
             0.865915                1.92561e-10         1.27283e-13
             0.866147                1.97588e-10         1.31183e-13
             0.866378                1.52596e-10         1.07897e-13
             0.866610                1.35283e-10         9.89637e-14
             0.866842                1.75833e-10         1.19404e-13
             0.867074                2.01862e-10         1.32207e-13
             0.867305                2.02239e-10         1.31446e-13
             0.867537                2.20161e-10         1.40960e-13
             0.867769                2.35583e-10         1.49862e-13
             0.868001                2.49605e-10         1.58142e-13
             0.868232                2.73104e-10         1.70341e-13
             0.868464                2.74078e-10         1.69329e-13
             0.868696                2.71888e-10         1.66807e-13
             0.868928                2.81030e-10         1.71735e-13
             0.869159                2.86524e-10         1.74786e-13
             0.869391                2.85734e-10         1.75559e-13
             0.869623                2.91030e-10         1.79081e-13
             0.869855                3.02415e-10         1.83980e-13
             0.870086                3.04918e-10         1.84432e-13
             0.870318                3.08588e-10         1.84578e-13
             0.870550                3.10657e-10         1.84459e-13
             0.870781                3.14613e-10         1.87989e-13
             0.871013                3.32640e-10         1.97338e-13
             0.871245                3.32668e-10         1.98590e-13
             0.871476                3.28890e-10         1.94922e-13
             0.871708                3.47575e-10         2.06365e-13
             0.871940                3.64224e-10         2.11614e-13
             0.872171                3.70444e-10         2.16976e-13
             0.872403                3.83653e-10         2.25392e-13
             0.872635                3.88254e-10         2.30131e-13
             0.872866                3.79289e-10         2.25753e-13
             0.873098                3.80199e-10         2.26543e-13
             0.873330                3.96061e-10         2.35693e-13
             0.873561                4.11382e-10         2.43898e-13
             0.873793                3.96702e-10         2.35966e-13
             0.874025                3.82619e-10         2.29077e-13
             0.874256                3.85924e-10         2.32276e-13
             0.874488                3.80341e-10         2.28878e-13
             0.874720                3.82846e-10         2.29136e-13
             0.874951                3.93693e-10         2.33410e-13
             0.875183                4.00722e-10         2.36377e-13
             0.875414                3.92947e-10         2.33568e-13
             0.875646                3.80604e-10         2.27258e-13
             0.875877                3.79168e-10         2.27814e-13
             0.876109                3.80510e-10         2.27354e-13
